# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
4.728671496845541355e+01,1.005436162416020522e+02,1.589081476168148015e+02,2.219957318177169157e+02,2.895583588485650921e+02,3.614152451028231781e+02,4.374256431782387722e+02,5.174753494456557519e+02,6.014690307635273712e+02,6.893254451653905335e+02,4.219384294534273039e+01,9.405399506898038453e+01,1.538883615861660132e+02,2.208725014347890863e+02,2.944495548911892797e+02,3.742016892435684099e+02,4.597974858601381243e+02,5.509647879480236270e+02,6.474746992569422446e+02,7.491312963597064254e+02
4.727847375538953401e+01,1.005104528882267232e+02,1.588329611544641864e+02,2.218608956580003166e+02,2.893456541726247337e+02,3.611058176048078963e+02,4.369999756435404947e+02,5.169132456657797547e+02,6.007496078110717690e+02,6.884271319398133073e+02,4.218189035892208238e+01,9.401085146456679809e+01,1.537992458932648390e+02,2.207252805166756673e+02,2.942336874698282827e+02,3.739075322199308289e+02,4.594158160664583761e+02,5.504864636084581662e+02,6.468904166950105719e+02,7.484314138184191734e+02
4.727094894007434789e+01,1.004801720322551546e+02,1.587643081613899483e+02,2.217377718686355479e+02,2.891514161491092523e+02,3.608232362290138440e+02,4.366112097158339225e+02,5.163998259265491697e+02,6.000924286836303736e+02,6.876064490951515609e+02,4.217097195171626822e+01,9.397143209523726171e+01,1.537178185080927051e+02,2.205907713843680540e+02,2.940364948300589845e+02,3.736388925125315268e+02,4.590673652786197181e+02,5.500499254845004771e+02,6.463573776833853799e+02,7.477931593190404556e+02
4.726405983255932597e+01,1.004524490560333589e+02,1.587014530696833674e+02,2.216250424009321307e+02,2.889735678888853840e+02,3.605644839619187678e+02,4.362552020940907482e+02,5.159296297317749804e+02,5.994905202293708726e+02,6.868547110375802731e+02,4.216097188534008211e+01,9.393532092725652660e+01,1.536432210446879196e+02,2.204675532576087278e+02,2.938558849042383940e+02,3.733929023998739467e+02,4.587483861326231818e+02,5.496504403261722018e+02,6.458697529244476527e+02,7.472094924098051933e+02
4.725773679144514006e+01,1.004270037833120739e+02,1.586437609812124094e+02,2.215215695056367053e+02,2.888103164179205464e+02,3.603269558809673185e+02,4.359283748509101883e+02,5.154979408578298035e+02,5.989378585514384667e+02,6.861644129169675352e+02,4.215179008273908323e+01,9.390215836707267272e+01,1.535747115115072177e+02,2.203543982684295770e+02,2.936900504390038691e+02,3.731670859570588732e+02,4.584556453326640053e+02,5.492839270200134933e+02,6.454225197969209376e+02,7.466743510865984490e+02
4.725191945698364293e+01,1.004035933733894126e+02,1.585906815768800868e+02,2.214263669296517776e+02,2.886601073531668362e+02,3.601083934258848558e+02,4.356276253477849991e+02,5.151006689020374552e+02,5.984292181281746252e+02,6.855290432157871692e+02,4.214333972522761940e+01,9.387163232640955357e+01,1.535116458920394962e+02,2.202502408833207426e+02,2.935374237160945654e+02,3.729592965307790564e+02,4.581863412631779511e+02,5.489468516119588912e+02,6.450113319378924643e+02,7.461824929525508878e+02
4.724655530526319325e+01,1.003820065062729441e+02,1.585417359482267159e+02,2.213385763410425966e+02,2.885215877994782545e+02,3.599068305814229802e+02,4.353502524585350102e+02,5.147342522493544266e+02,5.979600481801612659e+02,6.849429301351187860e+02,4.213554520089902411e+01,9.384347089350072224e+01,1.534534630357817946e+02,2.201541528314084815e+02,2.933966394528590627e+02,3.727676655547956557e+02,4.579380366088206529e+02,5.486361415361874379e+02,6.446324127844503664e+02,7.457293656705788862e+02
4.724159845847982098e+01,1.003620585976268131e+02,1.584965057602387049e+02,2.212574479252661206e+02,2.883935758067177062e+02,3.597205495672310462e+02,4.350938958126257035e+02,5.143955781436707184e+02,5.975263708033971852e+02,6.844011149885453733e+02,4.212834041381724148e+01,9.381743628900454723e+01,1.533996721971469981e+02,2.200653224343404304e+02,2.932665042362680197e+02,3.725905604141558456e+02,4.577086029364424462e+02,5.483491151357644640e+02,6.442824681730927523e+02,7.453110006952092590e+02
4.723700870074772240e+01,1.003435878401944308e+02,1.584546242853691638e+02,2.211823243300788988e+02,2.882750350943089757e+02,3.595480441630877522e+02,4.348564854975684284e+02,5.140819165032993396e+02,5.971246965976411047e+02,6.838992473113122514e+02,4.212166738329307236e+01,9.379331985578144781e+01,1.533498427052314526e+02,2.199830374766795558e+02,2.931459712078299731e+02,3.724265495747324053e+02,4.574961748715575709e+02,5.480834234360169148e+02,6.439586141948403792e+02,7.449239256233801143e+02
4.723275065982556242e+01,1.003264519125228986e+02,1.584157689484528646e+02,2.211126273146099379e+02,2.881650540301605474e+02,3.593879892022417266e+02,4.346362002125100048e+02,5.137908648450606961e+02,5.967519544390313513e+02,6.834334975309744777e+02,4.211547507776737831e+01,9.377093788538560659e+01,1.533035953582569562e+02,2.199066709405531128e+02,2.930341189933298551e+02,3.722743735806389509e+02,4.572991120162989773e+02,5.478370017947255519e+02,6.436583173365379480e+02,7.445650915273948840e+02
4.722879312357850523e+01,1.003105252294630105e+02,1.583796550984107796e+02,2.210478465943723734e+02,2.880628280649042949e+02,3.592392150753132682e+02,4.344314322885724096e+02,5.135203022365263905e+02,5.964054327511857991e+02,6.830004839186753998e+02,4.210971843948370719e+01,9.375012812545577390e+01,1.532605952214746594e+02,2.198356690701945411e+02,2.929301340830328968e+02,3.721329208174265659e+02,4.571159671490840992e+02,5.476080295592490756e+02,6.433793445735423120e+02,7.442318124131104469e+02
4.722510846636976822e+01,1.002956966348508985e+02,1.583460307813143118e+02,2.209875304789419204e+02,2.879676449873441015e+02,3.591006863259976853e+02,4.342407583179432322e+02,5.132683506242013891e+02,5.960827301729201508e+02,6.825972112138465491e+02,4.210435756510752014e+01,9.373074684401520074e+01,1.532205455731064205e+02,2.197695413415996200e+02,2.928332960314904199e+02,3.720012071665233293e+02,4.569454595487878237e+02,5.473948962498258197e+02,6.431197215665383737e+02,7.439217145447702251e+02
4.722167216565891579e+01,1.002818674569522273e+02,1.583146723350064065e+02,2.209312779805076730e+02,2.878788724949604898e+02,3.589714836050176814e+02,4.340629143871882434e+02,5.130333422179784293e+02,5.957817139432199838e+02,6.822210188386679874e+02,4.209935701444285883e+01,9.371266635155301117e+01,1.531831827939501807e+02,2.197078519976502093e+02,2.927429649728813388e+02,3.718783588529175290e+02,4.567864525207081670e+02,5.471961730894512357e+02,6.428776974923302987e+02,7.436326938405180726e+02
4.721846239293848413e+01,1.002689498629068794e+02,1.582853806609105334e+02,2.208787321349930153e+02,2.877959476732389135e+02,3.588507883934842084e+02,4.338967751081453343e+02,5.128137918718765604e+02,5.955004846543425856e+02,6.818695370277223446e+02,4.209468522488909059e+01,9.369577290114040125e+01,1.531482720363389944e+02,2.196502128757193191e+02,2.926585710469908577e+02,3.717635979258148495e+02,4.566379343844373579e+02,5.470105889353577595e+02,6.426517153317644215e+02,7.433628799019419375e+02
4.721545966622369406e+01,1.002568654607688643e+02,1.582579780566567820e+02,2.208295743274417475e+02,2.877183680560337962e+02,3.587378700204442907e+02,4.337413357953362265e+02,5.126083736053381017e+02,5.952373462835071223e+02,6.815406495202906854e+02,4.209031401354264545e+01,9.367996490211527316e+01,1.531156035395999311e+02,2.195962773070874618e+02,2.925796054088688152e+02,3.716562299202743134e+02,4.564990023272071653e+02,5.468370098509157060e+02,6.424403866677624819e+02,7.431106055226114222e+02
4.721264655373904873e+01,1.002455441074698683e+02,1.582323055151370568e+02,2.207835194527032456e+02,2.876456840011726399e+02,3.586320745892173818e+02,4.335956972617424299e+02,5.124159005707462029e+02,5.949907806188872428e+02,6.812324617170797865e+02,4.208621815228589469e+01,9.366515139498854126e+01,1.530849894840915226e+02,2.195457349090864341e+02,2.925056125568472680e+02,3.715556333332837085e+02,4.563688486394191273e+02,5.466744217019034977e+02,6.422424702274768151e+02,7.428743807418762799e+02
4.721000742035904096e+01,1.002349228887369890e+02,1.582082204131079948e+02,2.207403117738444109e+02,2.875774921647513338e+02,3.585328154984308640e+02,4.334590528024538116e+02,5.122353079010607644e+02,5.947594253588890751e+02,6.809432734058093502e+02,4.208237500388712959e+01,9.365125074483522383e+01,1.530562612957527051e+02,2.194983071237525678e+02,2.924361837625329485e+02,3.714612506155858682e+02,4.562467489389564435e+02,5.465219152757794063e+02,6.420568535458248789e+02,7.426528706855298196e+02
4.720752820989568477e+01,1.002249452432156573e+02,1.581855945264383649e+02,2.206997213656128451e+02,2.875134298968302460e+02,3.584395653006404245e+02,4.333306770136930481e+02,5.120656379740080411e+02,5.945420552940009884e+02,6.806715553217270553e+02,4.207876420929958527e+01,9.363818951813701119e+01,1.530292673289571042e+02,2.194537433832228714e+02,2.923709514255768340e+02,3.713725804347993744e+02,4.561320520624303185e+02,5.463786735143795568e+02,6.418825372418974666e+02,7.424448765743856029e+02
